customer_id,recency,frequency,monetary,recency_score,frequency_score,monetary_score,rfm_score,segment
CUST_00112,83,1,97.67,4,1,1,6,Potential
CUST_00113,90,11,2647.95,4,4,4,12,Champions
CUST_00114,65,10,1160.9299999999998,4,4,4,12,Champions
CUST_00115,114,3,227.60000000000002,4,2,2,8,Loyal
CUST_00116,111,17,2379.2,4,4,4,12,Champions
CUST_00117,203,14,1933.1799999999998,3,4,4,11,Champions
CUST_00118,268,2,360.92999999999995,2,1,2,5,At Risk
CUST_00119,122,5,960.91,3,3,3,9,Loyal
CUST_00120,703,2,394.03999999999996,1,1,2,4,At Risk
CUST_00121,8,10,1891.18,4,4,4,12,Champions
CUST_00122,85,7,624.4399999999999,4,4,3,11,Champions
CUST_00123,197,1,616.32,3,1,3,7,Potential
CUST_00125,1009,1,85.84,1,1,1,3,Lost
CUST_00126,501,2,610.77,2,1,3,6,Potential
CUST_00127,74,11,1394.11,4,4,4,12,Champions
CUST_00128,73,10,3672.46,4,4,4,12,Champions
CUST_00130,21,5,640.86,4,3,3,10,Champions
CUST_00131,140,3,1158.43,3,2,3,8,Loyal
CUST_00132,108,1,26.08,4,1,1,6,Potential
CUST_00133,653,1,56.75,1,1,1,3,Lost
CUST_00134,886,1,303.66,1,1,2,4,At Risk
CUST_00135,362,10,1880.56,2,4,4,10,Champions
CUST_00137,163,4,322.03,3,3,2,8,Loyal
CUST_00138,66,4,341.79999999999995,4,3,2,9,Loyal
CUST_00139,872,1,45.92,1,1,1,3,Lost
CUST_00140,114,12,3004.39,4,4,4,12,Champions
CUST_00141,151,11,1847.05,3,4,4,11,Champions
CUST_00142,501,2,249.14,2,1,2,5,At Risk
CUST_00143,89,3,1013.86,4,2,3,9,Loyal
CUST_00144,977,2,678.03,1,1,3,5,At Risk
CUST_00146,105,2,503.25,4,1,2,7,Potential
CUST_00147,274,3,494.15,2,2,2,6,Potential
CUST_00148,61,3,599.55,4,2,3,9,Loyal
CUST_00149,982,1,583.15,1,1,3,5,At Risk
CUST_00150,960,2,179.4,1,1,1,3,Lost
CUST_00151,190,9,748.1700000000001,3,4,3,10,Champions
CUST_00152,311,2,136.85999999999999,2,1,1,4,At Risk
CUST_00154,344,3,522.75,2,2,2,6,Potential
CUST_00155,112,11,1465.38,4,4,4,12,Champions
CUST_00156,342,4,420.11,2,3,2,7,Potential
CUST_00157,151,2,413.75,3,1,2,6,Potential
CUST_00158,64,2,193.69,4,1,2,7,Potential
CUST_00160,910,1,119.61,1,1,1,3,Lost
CUST_00161,181,1,306.06,3,1,2,6,Potential
CUST_00162,725,1,388.8,1,1,2,4,At Risk
CUST_00163,338,1,93.25,2,1,1,4,At Risk
CUST_00165,324,2,161.32999999999998,2,1,1,4,At Risk
CUST_00166,156,7,617.57,3,4,3,10,Champions
CUST_00168,998,1,1217.68,1,1,4,6,Potential
CUST_00169,825,2,332.24,1,1,2,4,At Risk
CUST_00170,561,2,211.75,1,1,2,4,At Risk
CUST_00171,653,2,915.6800000000001,1,1,3,5,At Risk
CUST_00172,114,5,1252.39,4,3,4,11,Champions
CUST_00173,49,4,473.31,4,3,2,9,Loyal
CUST_00175,853,3,126.17,1,2,1,4,At Risk
CUST_00176,564,1,20.39,1,1,1,3,Lost
CUST_00177,153,4,752.7,3,3,3,9,Loyal
CUST_00179,236,7,2172.61,2,4,4,10,Champions
CUST_00180,440,2,352.72,2,1,2,5,At Risk
CUST_00182,319,2,27.0,2,1,1,4,At Risk
CUST_00183,91,11,3386.1600000000003,4,4,4,12,Champions
CUST_00184,99,11,1994.86,4,4,4,12,Champions
CUST_00185,208,2,681.87,3,1,3,7,Potential
CUST_00186,197,3,662.15,3,2,3,8,Loyal
CUST_00187,61,8,1089.0700000000002,4,4,3,11,Champions
CUST_00188,543,1,173.9,1,1,1,3,Lost
CUST_00189,266,2,830.56,2,1,3,6,Potential
CUST_00190,849,1,144.74,1,1,1,3,Lost
CUST_00191,219,1,170.74,3,1,1,5,At Risk
CUST_00192,122,9,1234.99,3,4,4,11,Champions
CUST_00193,125,16,2326.34,3,4,4,11,Champions
CUST_00194,84,6,1906.17,4,3,4,11,Champions
CUST_00197,115,8,1244.9199999999998,4,4,4,12,Champions
CUST_00198,115,6,1315.71,4,3,4,11,Champions
CUST_00199,462,6,968.6899999999999,2,3,3,8,Loyal
CUST_00200,440,3,847.4399999999999,2,2,3,7,Potential
CUST_00201,346,1,125.54,2,1,1,4,At Risk
CUST_00203,565,2,442.27,1,1,2,4,At Risk
CUST_00204,68,9,1587.34,4,4,4,12,Champions
CUST_00205,571,1,74.63,1,1,1,3,Lost
CUST_00206,68,3,592.51,4,2,3,9,Loyal
CUST_00207,96,3,307.14,4,2,2,8,Loyal
CUST_00208,442,6,1497.2099999999998,2,3,4,9,Loyal
CUST_00209,653,1,44.73,1,1,1,3,Lost
CUST_00211,490,3,159.45,2,2,1,5,At Risk
CUST_00212,191,3,1623.81,3,2,4,9,Loyal
CUST_00213,813,2,221.07999999999998,1,1,2,4,At Risk
CUST_00214,993,1,604.21,1,1,3,5,At Risk
CUST_00215,436,3,2062.54,2,2,4,8,Loyal
CUST_00216,102,1,15.63,4,1,1,6,Potential
CUST_00218,104,6,1209.3200000000002,4,3,4,11,Champions
CUST_00219,343,5,519.64,2,3,2,7,Potential
CUST_00220,159,14,2033.79,3,4,4,11,Champions
CUST_00221,593,2,1671.98,1,1,4,6,Potential
CUST_00222,621,2,70.49000000000001,1,1,1,3,Lost
CUST_00223,724,2,435.45000000000005,1,1,2,4,At Risk
CUST_00224,849,1,416.71,1,1,2,4,At Risk
CUST_00227,62,9,1632.29,4,4,4,12,Champions
CUST_00229,64,9,1271.76,4,4,4,12,Champions
CUST_00230,621,5,1691.88,1,3,4,8,Loyal
CUST_00231,93,2,849.1600000000001,4,1,3,8,Loyal
CUST_00232,393,2,136.35,2,1,1,4,At Risk
CUST_00233,107,7,1467.76,4,4,4,12,Champions
CUST_00234,238,2,736.55,2,1,3,6,Potential
CUST_00235,310,1,313.52,2,1,2,5,At Risk
CUST_00236,641,3,649.3100000000001,1,2,3,6,Potential
CUST_00239,260,2,1769.94,2,1,4,7,Potential
CUST_00241,7,10,1359.92,4,4,4,12,Champions
CUST_00242,72,4,626.21,4,3,3,10,Champions
CUST_00243,564,5,921.98,1,3,3,7,Potential
CUST_00244,479,1,63.84,2,1,1,4,At Risk
CUST_00246,102,9,1909.93,4,4,4,12,Champions
CUST_00248,65,11,3621.26,4,4,4,12,Champions
CUST_00249,210,9,1331.87,3,4,4,11,Champions
CUST_00250,131,7,2462.72,3,4,4,11,Champions
CUST_00251,82,2,283.23,4,2,2,8,Loyal
CUST_00252,831,1,146.39,1,1,1,3,Lost
CUST_00253,125,10,1835.95,3,4,4,11,Champions
CUST_00254,159,3,260.88,3,2,2,7,Potential
CUST_00256,90,3,687.98,4,2,3,9,Loyal
CUST_00257,97,11,1593.44,4,4,4,12,Champions
CUST_00258,558,4,378.84000000000003,1,3,2,6,Potential
CUST_00259,188,2,199.44,3,2,2,7,Potential
CUST_00260,66,1,1488.33,4,1,4,9,Loyal
CUST_00261,196,9,1147.29,3,4,3,10,Champions
CUST_00262,112,9,3144.4,4,4,4,12,Champions
CUST_00263,717,1,106.25,1,1,1,3,Lost
CUST_00264,808,4,329.34,1,3,2,6,Potential
CUST_00265,230,8,1091.86,2,4,3,9,Loyal
CUST_00266,148,2,62.790000000000006,3,2,1,6,Potential
CUST_00267,291,4,1679.89,2,3,4,9,Loyal
CUST_00270,509,1,110.48,2,1,1,4,At Risk
CUST_00271,83,11,1856.53,4,4,4,12,Champions
CUST_00272,226,6,658.25,3,3,3,9,Loyal
CUST_00273,113,5,872.52,4,3,3,10,Champions
CUST_00274,289,7,822.54,2,4,3,9,Loyal
CUST_00275,143,7,436.11,3,4,2,9,Loyal
CUST_00276,385,1,20.84,2,1,1,4,At Risk
CUST_00277,9,2,408.2,4,2,2,8,Loyal
CUST_00278,79,1,84.84,4,1,1,6,Potential
CUST_00279,154,1,48.24,3,1,1,5,At Risk
CUST_00280,293,6,906.49,2,3,3,8,Loyal
CUST_00281,31,8,778.6800000000001,4,4,3,11,Champions
CUST_00282,141,1,162.26,3,1,1,5,At Risk
CUST_00285,131,3,277.65999999999997,3,2,2,7,Potential
CUST_00287,74,5,1069.25,4,3,3,10,Champions
CUST_00288,261,4,563.76,2,3,3,8,Loyal
CUST_00289,711,1,513.0,1,1,2,4,At Risk
CUST_00291,909,1,145.88,1,1,1,3,Lost
CUST_00292,82,3,1256.03,4,2,4,10,Champions
CUST_00293,13,12,2167.07,4,4,4,12,Champions
CUST_00296,708,1,188.52,1,1,1,3,Lost
CUST_00297,111,9,1534.99,4,4,4,12,Champions
CUST_00298,518,1,48.18,1,1,1,3,Lost
CUST_00299,111,4,423.87,4,3,2,9,Loyal
CUST_00300,107,2,991.49,4,2,3,9,Loyal
CUST_00301,363,3,482.46999999999997,2,2,2,6,Potential
CUST_00302,105,5,764.57,4,3,3,10,Champions
CUST_00303,1024,1,124.97,1,1,1,3,Lost
CUST_00304,72,4,383.32,4,3,2,9,Loyal
CUST_00305,90,8,3403.68,4,4,4,12,Champions
CUST_00306,88,5,1007.65,4,3,3,10,Champions
CUST_00307,664,2,409.6,1,2,2,5,At Risk
CUST_00308,121,4,778.6700000000001,3,3,3,9,Loyal
CUST_00309,428,3,532.04,2,2,3,7,Potential
CUST_00310,14,3,1192.32,4,2,4,10,Champions
CUST_00312,555,1,152.45,1,1,1,3,Lost
CUST_00313,1020,2,123.94,1,2,1,4,At Risk
CUST_00314,124,6,691.28,3,3,3,9,Loyal
CUST_00315,228,6,1449.35,3,3,4,10,Champions
CUST_00316,753,2,468.42999999999995,1,2,2,5,At Risk
CUST_00319,258,4,462.91,2,3,2,7,Potential
CUST_00320,290,1,66.54,2,1,1,4,At Risk
CUST_00321,232,8,2069.59,2,4,4,10,Champions
CUST_00322,136,1,138.31,3,1,1,5,At Risk
CUST_00325,242,8,1526.86,2,4,4,10,Champions
CUST_00326,436,1,216.3,2,1,2,5,At Risk
CUST_00327,263,2,214.23,2,2,2,6,Potential
CUST_00328,69,3,348.77,4,2,2,8,Loyal
CUST_00329,82,3,1024.1499999999999,4,2,3,9,Loyal
CUST_00330,469,1,97.34,2,1,1,4,At Risk
CUST_00331,930,2,320.01,1,2,2,5,At Risk
CUST_00332,192,6,727.03,3,3,3,9,Loyal
CUST_00333,290,1,1200.74,2,1,4,7,Potential
CUST_00334,713,1,25.13,1,1,1,3,Lost
CUST_00336,999,1,46.68,1,1,1,3,Lost
CUST_00337,171,7,1408.27,3,4,4,11,Champions
CUST_00338,256,4,699.4399999999999,2,3,3,8,Loyal
CUST_00339,226,6,935.9499999999999,3,3,3,9,Loyal
CUST_00341,1071,1,188.82,1,1,1,3,Lost
CUST_00342,598,3,301.48,1,2,2,5,At Risk
CUST_00343,570,1,13.08,1,1,1,3,Lost
CUST_00344,439,2,381.66999999999996,2,2,2,6,Potential
CUST_00345,460,3,595.81,2,2,3,7,Potential
CUST_00346,340,2,209.68,2,2,2,6,Potential
CUST_00347,847,2,683.8199999999999,1,2,3,6,Potential
CUST_00350,460,1,37.91,2,1,1,4,At Risk
CUST_00351,626,2,142.96,1,2,1,4,At Risk
CUST_00352,160,8,955.27,3,4,3,10,Champions
CUST_00353,20,3,231.45999999999998,4,2,2,8,Loyal
CUST_00355,663,3,1642.13,1,2,4,7,Potential
CUST_00356,217,4,668.65,3,3,3,9,Loyal
CUST_00357,262,4,1799.11,2,3,4,9,Loyal
CUST_00358,344,2,174.4,2,2,1,5,At Risk
CUST_00359,84,8,1673.95,4,4,4,12,Champions
CUST_00360,246,5,1069.3400000000001,2,3,3,8,Loyal
CUST_00362,13,5,840.96,4,3,3,10,Champions
CUST_00363,147,2,259.07,3,2,2,7,Potential
CUST_00364,843,2,433.08000000000004,1,2,2,5,At Risk
CUST_00365,65,8,1218.35,4,4,4,12,Champions
CUST_00366,552,1,71.26,1,1,1,3,Lost
CUST_00367,186,10,877.58,3,4,3,10,Champions
CUST_00368,196,8,1245.04,3,4,4,11,Champions
CUST_00369,53,1,219.32,4,1,2,7,Potential
CUST_00370,103,1,290.92,4,1,2,7,Potential
CUST_00373,65,1,262.94,4,1,2,7,Potential
CUST_00374,838,2,375.91,1,2,2,5,At Risk
CUST_00377,149,5,606.61,3,3,3,9,Loyal
CUST_00378,689,2,510.29999999999995,1,2,2,5,At Risk
CUST_00379,196,6,574.45,3,3,3,9,Loyal
CUST_00381,63,4,578.67,4,3,3,10,Champions
CUST_00382,250,3,947.36,2,2,3,7,Potential
CUST_00383,625,5,389.24,1,3,2,6,Potential
CUST_00384,119,6,772.9300000000001,3,3,3,9,Loyal
CUST_00385,229,8,1153.43,2,4,3,9,Loyal
CUST_00386,148,10,1354.94,3,4,4,11,Champions
CUST_00387,846,1,37.34,1,1,1,3,Lost
CUST_00388,260,4,710.4899999999999,2,3,3,8,Loyal
CUST_00389,127,4,807.61,3,3,3,9,Loyal
CUST_00390,191,9,1345.08,3,4,4,11,Champions
CUST_00391,246,7,3044.85,2,4,4,10,Champions
CUST_00394,523,3,181.52,1,2,1,4,At Risk
CUST_00395,476,3,1073.64,2,2,3,7,Potential
CUST_00396,96,14,2269.48,4,4,4,12,Champions
CUST_00397,82,11,1272.54,4,4,4,12,Champions
CUST_00399,275,1,183.87,2,1,1,4,At Risk
CUST_00400,99,6,2093.9700000000003,4,3,4,11,Champions
CUST_00401,1067,1,500.82,1,1,2,4,At Risk
CUST_00402,67,11,1954.8400000000001,4,4,4,12,Champions
CUST_00403,524,4,1702.15,1,3,4,8,Loyal
CUST_00404,159,8,864.88,3,4,3,10,Champions
CUST_00405,122,2,235.76,3,2,2,7,Potential
CUST_00406,11,10,2050.87,4,4,4,12,Champions
CUST_00409,66,8,790.28,4,4,3,11,Champions
CUST_00410,168,3,1438.59,3,2,4,9,Loyal
CUST_00412,265,5,642.03,2,3,3,8,Loyal
CUST_00413,164,7,765.19,3,4,3,10,Champions
CUST_00414,106,2,82.52,4,2,1,7,Potential
CUST_00415,73,3,206.25,4,2,2,8,Loyal
CUST_00416,628,1,82.42,1,1,1,3,Lost
CUST_00417,694,2,249.20999999999998,1,2,2,5,At Risk
CUST_00418,151,3,1036.07,3,2,3,8,Loyal
CUST_00419,113,6,590.3199999999999,4,3,3,10,Champions
CUST_00420,713,3,154.70000000000002,1,2,1,4,At Risk
CUST_00421,121,3,517.1700000000001,3,2,2,7,Potential
CUST_00422,525,4,742.62,1,3,3,7,Potential
CUST_00423,432,2,100.87,2,2,1,5,At Risk
CUST_00424,180,6,927.6299999999999,3,3,3,9,Loyal
CUST_00426,234,3,584.42,2,2,3,7,Potential
CUST_00427,255,1,21.33,2,1,1,4,At Risk
CUST_00428,72,14,1504.35,4,4,4,12,Champions
CUST_00429,502,1,956.56,2,1,3,6,Potential
CUST_00430,264,2,268.27,2,2,2,6,Potential
CUST_00431,842,1,128.29,1,1,1,3,Lost
CUST_00432,78,4,916.4300000000001,4,3,3,10,Champions
CUST_00433,67,4,585.5,4,3,3,10,Champions
CUST_00435,178,2,146.2,3,2,1,6,Potential
CUST_00436,918,2,480.34000000000003,1,2,2,5,At Risk
CUST_00437,431,4,725.22,2,3,3,8,Loyal
CUST_00438,327,10,1772.23,2,4,4,10,Champions
CUST_00439,644,6,375.59000000000003,1,3,2,6,Potential
CUST_00440,210,2,177.03,3,2,1,6,Potential
CUST_00441,135,1,180.14,3,1,1,5,At Risk
CUST_00442,195,10,1585.2,3,4,4,11,Champions
CUST_00444,148,3,286.96000000000004,3,2,2,7,Potential
CUST_00445,154,14,2140.74,3,4,4,11,Champions
CUST_00446,172,8,1094.69,3,4,3,10,Champions
CUST_00447,146,5,687.65,3,3,3,9,Loyal
CUST_00448,99,5,439.04,4,3,2,9,Loyal
CUST_00450,848,1,315.48,1,1,2,4,At Risk
CUST_00451,173,4,862.0899999999999,3,3,3,9,Loyal
CUST_00452,321,5,1011.8399999999999,2,3,3,8,Loyal
CUST_00453,72,2,429.21000000000004,4,2,2,8,Loyal
CUST_00454,71,9,1794.75,4,4,4,12,Champions
CUST_00455,246,1,9.62,2,1,1,4,At Risk
CUST_00456,232,2,191.95,2,2,2,6,Potential
CUST_00458,276,4,746.38,2,3,3,8,Loyal
CUST_00459,491,1,307.72,2,1,2,5,At Risk
CUST_00460,861,1,33.22,1,1,1,3,Lost
CUST_00462,302,5,1411.23,2,3,4,9,Loyal
CUST_00463,699,2,146.79,1,2,1,4,At Risk
CUST_00464,188,1,190.59,3,1,1,5,At Risk
CUST_00465,73,7,1622.0900000000001,4,4,4,12,Champions
CUST_00466,1085,1,375.05,1,1,2,4,At Risk
CUST_00467,499,1,122.13,2,1,1,4,At Risk
CUST_00468,161,11,1014.48,3,4,3,10,Champions
CUST_00469,116,2,47.34,4,2,1,7,Potential
CUST_00470,214,9,2676.81,3,4,4,11,Champions
CUST_00471,494,3,191.06,2,2,1,5,At Risk
CUST_00472,146,13,3605.23,3,4,4,11,Champions
CUST_00474,278,11,1388.7,2,4,4,10,Champions
CUST_00475,167,3,481.0,3,2,2,7,Potential
CUST_00476,83,20,5941.71,4,4,4,12,Champions
CUST_00477,623,2,158.78,1,2,1,4,At Risk
CUST_00478,643,6,854.53,1,3,3,7,Potential
CUST_00479,82,9,2281.44,4,4,4,12,Champions
CUST_00480,177,2,436.20000000000005,3,2,2,7,Potential
CUST_00481,247,3,375.21999999999997,2,2,2,6,Potential
CUST_00484,1095,1,108.99,1,1,1,3,Lost
CUST_00486,113,13,1331.78,4,4,4,12,Champions
CUST_00487,1021,1,1080.57,1,1,3,5,At Risk
CUST_00488,275,3,881.19,2,2,3,7,Potential
CUST_00489,67,11,2441.9500000000003,4,4,4,12,Champions
CUST_00490,127,12,2190.2400000000002,3,4,4,11,Champions
CUST_00491,252,5,991.03,2,3,3,8,Loyal
CUST_00492,250,2,692.06,2,2,3,7,Potential
CUST_00493,994,2,450.08,1,2,2,5,At Risk
CUST_00494,1072,1,125.2,1,1,1,3,Lost
CUST_00495,61,2,297.08,4,2,2,8,Loyal
CUST_00496,559,1,131.14,1,1,1,3,Lost
CUST_00499,101,11,3076.62,4,4,4,12,Champions
CUST_00500,150,8,1952.83,3,4,4,11,Champions
CUST_00501,280,4,855.3399999999999,2,3,3,8,Loyal
CUST_00502,212,4,546.98,3,3,3,9,Loyal
CUST_00503,73,1,234.48,4,1,2,7,Potential
CUST_00504,112,9,1088.68,4,4,3,11,Champions
CUST_00505,73,4,989.32,4,3,3,10,Champions
CUST_00507,146,8,510.56,3,4,2,9,Loyal
CUST_00508,81,7,687.8,4,4,3,11,Champions
CUST_00509,197,11,3472.99,3,4,4,11,Champions
CUST_00510,448,4,812.15,2,3,3,8,Loyal
CUST_00511,179,3,519.29,3,2,2,7,Potential
CUST_00512,245,3,776.8699999999999,2,2,3,7,Potential
CUST_00513,67,10,3242.4,4,4,4,12,Champions
CUST_00514,129,5,508.69,3,3,2,8,Loyal
CUST_00515,1045,1,69.4,1,1,1,3,Lost
CUST_00516,70,3,511.63,4,2,2,8,Loyal
CUST_00518,203,8,921.03,3,4,3,10,Champions
CUST_00519,117,11,1023.16,4,4,3,11,Champions
CUST_00520,72,1,169.0,4,1,1,6,Potential
CUST_00521,94,5,1075.1399999999999,4,3,3,10,Champions
CUST_00522,83,5,285.72,4,3,2,9,Loyal
CUST_00523,20,14,2503.24,4,4,4,12,Champions
CUST_00524,94,7,999.1400000000001,4,4,3,11,Champions
CUST_00525,62,10,1284.6100000000001,4,4,4,12,Champions
CUST_00526,84,8,1150.03,4,4,3,11,Champions
CUST_00527,94,1,232.33,4,1,2,7,Potential
CUST_00528,186,3,183.44,3,2,1,6,Potential
CUST_00529,680,1,99.66,1,1,1,3,Lost
CUST_00530,190,16,1986.09,3,4,4,11,Champions
CUST_00531,124,11,2542.76,3,4,4,11,Champions
CUST_00532,107,12,1436.74,4,4,4,12,Champions
CUST_00533,131,9,1920.51,3,4,4,11,Champions
CUST_00534,501,2,276.34000000000003,2,2,2,6,Potential
CUST_00535,589,4,596.82,1,3,3,7,Potential
CUST_00536,177,8,1004.7600000000001,3,4,3,10,Champions
CUST_00537,520,10,1905.74,1,4,4,9,Loyal
CUST_00538,513,2,1088.2,1,2,3,6,Potential
CUST_00539,124,3,212.97,3,2,2,7,Potential
CUST_00540,545,2,922.46,1,2,3,6,Potential
CUST_00541,345,8,1572.61,2,4,4,10,Champions
CUST_00542,103,3,791.0400000000001,4,2,3,9,Loyal
CUST_00543,152,2,606.16,3,2,3,8,Loyal
CUST_00544,768,2,148.57999999999998,1,2,1,4,At Risk
CUST_00545,77,5,1216.66,4,3,4,11,Champions
CUST_00547,922,1,125.62,1,1,1,3,Lost
CUST_00548,670,1,55.47,1,1,1,3,Lost
CUST_00549,71,6,399.48,4,3,2,9,Loyal
CUST_00550,6,3,482.9,4,2,2,8,Loyal
CUST_00551,114,6,443.32,4,3,2,9,Loyal
CUST_00552,274,8,3516.08,2,4,4,10,Champions
CUST_00553,451,2,384.72999999999996,2,2,2,6,Potential
CUST_00554,158,3,247.06,3,2,2,7,Potential
CUST_00555,215,11,2982.5099999999998,3,4,4,11,Champions
CUST_00556,853,2,528.63,1,2,2,5,At Risk
CUST_00557,747,1,183.21,1,1,1,3,Lost
CUST_00558,135,4,936.08,3,3,3,9,Loyal
CUST_00559,124,2,157.47,3,2,1,6,Potential
CUST_00560,637,2,417.14,1,2,2,5,At Risk
CUST_00561,462,5,526.66,2,3,2,7,Potential
CUST_00562,522,1,122.87,1,1,1,3,Lost
CUST_00563,248,3,401.78999999999996,2,2,2,6,Potential
CUST_00564,164,2,262.11,3,2,2,7,Potential
CUST_00565,467,1,70.7,2,1,1,4,At Risk
CUST_00566,117,2,1255.65,4,2,4,10,Champions
CUST_00569,131,8,829.4499999999999,3,4,3,10,Champions
CUST_00571,177,4,2055.61,3,3,4,10,Champions
CUST_00572,164,6,500.08,3,3,2,8,Loyal
CUST_00574,444,5,1959.45,2,3,4,9,Loyal
CUST_00575,88,9,804.48,4,4,3,11,Champions
CUST_00576,172,10,1913.63,3,4,4,11,Champions
CUST_00577,994,1,536.44,1,1,3,5,At Risk
CUST_00578,101,12,1990.28,4,4,4,12,Champions
CUST_00579,281,3,388.05,2,2,2,6,Potential
CUST_00581,345,5,1355.78,2,3,4,9,Loyal
CUST_00582,126,11,1299.18,3,4,4,11,Champions
CUST_00583,283,4,299.59,2,3,2,7,Potential
CUST_00584,106,3,289.83,4,2,2,8,Loyal
