transaction_id,customer_id,transaction_date,category,unit_price,quantity,discount_pct,total_amount,channel,device,payment_method,region,returned
TXN_012292,CUST_01237,2023-01-05,Clothing,94.59,1,0.05,89.86,Paid Ads,Mobile,Apple Pay,Southeast,False
TXN_010850,CUST_02193,2023-01-05,Sports & Outdoor,132.43,1,0.0,132.43,Social Media,Mobile,Apple Pay,Southwest,False
TXN_000737,CUST_00976,2023-01-05,Sports & Outdoor,245.71,1,0.0,245.71,Email,Mobile,PayPal,Southwest,False
TXN_011139,CUST_01196,2023-01-05,Electronics,220.86,1,0.0,220.86,Paid Ads,Desktop,Credit Card,West,False
TXN_000237,CUST_01342,2023-01-05,Clothing,29.59,1,0.0,29.59,Social Media,Mobile,PayPal,Midwest,False
TXN_009437,CUST_02426,2023-01-05,Electronics,135.15,3,0.1,364.9,Direct,Desktop,PayPal,West,True
TXN_007488,CUST_03108,2023-01-05,Sports & Outdoor,78.93,1,0.0,78.93,Paid Ads,Mobile,Credit Card,Southeast,True
TXN_001291,CUST_00664,2023-01-05,Electronics,380.96,3,0.0,1142.88,Email,Desktop,Credit Card,Southeast,False
TXN_005050,CUST_00360,2023-01-05,Electronics,327.33,2,0.1,589.19,Paid Ads,Mobile,Credit Card,Midwest,False
TXN_001392,CUST_01302,2023-01-05,Beauty & Health,76.98,1,0.0,76.98,Direct,Desktop,Credit Card,Midwest,False
TXN_010230,CUST_01008,2023-01-06,Beauty & Health,50.25,3,0.0,150.75,Organic Search,Desktop,Credit Card,Midwest,False
TXN_004537,CUST_00396,2023-01-06,Home & Kitchen,27.99,2,0.0,55.98,Social Media,Mobile,Apple Pay,West,False
TXN_011774,CUST_01866,2023-01-06,Home & Kitchen,182.71,2,0.0,365.42,Organic Search,Desktop,PayPal,Northeast,False
TXN_010887,CUST_01640,2023-01-06,Books & Media,36.15,2,0.15,61.46,Paid Ads,Mobile,Debit Card,Southeast,False
TXN_003480,CUST_02520,2023-01-06,Home & Kitchen,188.79,1,0.0,188.79,Organic Search,Desktop,Credit Card,Northeast,False
TXN_004962,CUST_00071,2023-01-06,Books & Media,31.16,2,0.0,62.32,Social Media,Desktop,Credit Card,Southeast,False
TXN_007368,CUST_01283,2023-01-06,Home & Kitchen,138.75,1,0.05,131.81,Organic Search,Tablet,Credit Card,Midwest,False
TXN_012088,CUST_00789,2023-01-06,Electronics,464.45,1,0.0,464.45,Organic Search,Mobile,Credit Card,Southeast,True
TXN_003807,CUST_00893,2023-01-06,Clothing,129.39,1,0.05,122.92,Organic Search,Desktop,Apple Pay,Midwest,False
TXN_003982,CUST_03179,2023-01-06,Electronics,174.92,1,0.15,148.68,Direct,Mobile,Credit Card,Southwest,False
TXN_009978,CUST_03129,2023-01-06,Clothing,127.76,1,0.15,108.6,Paid Ads,Mobile,Credit Card,Midwest,False
TXN_007580,CUST_00795,2023-01-06,Clothing,120.69,3,0.0,362.07,Paid Ads,Desktop,Credit Card,Midwest,False
TXN_009477,CUST_00615,2023-01-07,Beauty & Health,17.95,1,0.0,17.95,Social Media,Desktop,Credit Card,Southeast,False
TXN_006120,CUST_00265,2023-01-07,Books & Media,16.36,2,0.0,32.72,Email,Mobile,PayPal,Northeast,False
TXN_005674,CUST_01453,2023-01-07,Sports & Outdoor,181.58,2,0.05,345.0,Social Media,Mobile,PayPal,Midwest,False
TXN_011523,CUST_01728,2023-01-07,Home & Kitchen,41.55,1,0.05,39.47,Organic Search,Mobile,Credit Card,Southeast,False
TXN_007705,CUST_01953,2023-01-07,Clothing,67.45,1,0.1,60.71,Email,Desktop,PayPal,Southwest,False
TXN_011226,CUST_00499,2023-01-07,Sports & Outdoor,212.36,3,0.1,573.37,Direct,Mobile,PayPal,Southwest,False
TXN_004956,CUST_00299,2023-01-07,Clothing,83.92,1,0.0,83.92,Paid Ads,Tablet,Credit Card,Northeast,False
TXN_006023,CUST_01865,2023-01-07,Beauty & Health,72.31,4,0.0,289.24,Social Media,Mobile,Credit Card,West,False
TXN_005350,CUST_02806,2023-01-07,Books & Media,37.47,1,0.2,29.98,Social Media,Mobile,PayPal,Southwest,False
TXN_009696,CUST_01496,2023-01-07,Electronics,344.75,1,0.0,344.75,Direct,Tablet,Debit Card,Southwest,False
TXN_001535,CUST_01959,2023-01-07,Clothing,128.2,5,0.05,608.95,Direct,Mobile,Debit Card,Midwest,False
TXN_003901,CUST_02129,2023-01-07,Beauty & Health,54.73,2,0.05,103.99,Paid Ads,Desktop,PayPal,Midwest,False
TXN_002587,CUST_00028,2023-01-07,Home & Kitchen,42.86,3,0.05,122.15,Email,Mobile,Debit Card,Southeast,False
TXN_005180,CUST_00665,2023-01-08,Electronics,170.9,2,0.1,307.62,Direct,Mobile,Debit Card,Northeast,False
TXN_010822,CUST_01963,2023-01-08,Beauty & Health,49.82,1,0.15,42.35,Paid Ads,Desktop,PayPal,Southeast,False
TXN_008100,CUST_02038,2023-01-08,Electronics,445.15,1,0.05,422.89,Organic Search,Mobile,Apple Pay,West,False
TXN_006432,CUST_01466,2023-01-08,Beauty & Health,58.39,1,0.0,58.39,Organic Search,Tablet,Debit Card,West,False
TXN_012155,CUST_01495,2023-01-08,Electronics,442.65,1,0.0,442.65,Organic Search,Desktop,Credit Card,Midwest,False
TXN_000241,CUST_03064,2023-01-08,Electronics,58.05,5,0.0,290.25,Organic Search,Mobile,Apple Pay,Southwest,False
TXN_010550,CUST_01938,2023-01-08,Clothing,60.94,1,0.0,60.94,Email,Mobile,PayPal,Northeast,False
TXN_006598,CUST_02889,2023-01-08,Home & Kitchen,47.14,1,0.0,47.14,Organic Search,Desktop,Debit Card,West,False
TXN_009380,CUST_00233,2023-01-08,Electronics,248.46,1,0.0,248.46,Social Media,Desktop,Debit Card,West,False
TXN_002504,CUST_02773,2023-01-08,Toys & Games,21.91,1,0.0,21.91,Organic Search,Mobile,PayPal,West,False
TXN_004244,CUST_00261,2023-01-09,Home & Kitchen,41.3,1,0.0,41.3,Organic Search,Desktop,Debit Card,Southeast,False
TXN_008472,CUST_01122,2023-01-09,Electronics,245.51,2,0.05,466.47,Paid Ads,Mobile,Credit Card,Southwest,False
TXN_010398,CUST_00478,2023-01-09,Clothing,15.8,4,0.05,60.04,Email,Desktop,PayPal,Southeast,False
TXN_006588,CUST_02498,2023-01-09,Home & Kitchen,53.43,2,0.2,85.49,Paid Ads,Tablet,Credit Card,Southeast,False
TXN_003234,CUST_00391,2023-01-09,Electronics,409.29,5,0.1,1841.8,Organic Search,Desktop,Debit Card,Southwest,False
TXN_000690,CUST_00468,2023-01-09,Electronics,74.95,1,0.05,71.2,Email,Mobile,Credit Card,Northeast,False
TXN_010371,CUST_00826,2023-01-09,Electronics,436.36,2,0.15,741.81,Email,Desktop,Credit Card,West,False
TXN_003231,CUST_00051,2023-01-09,Clothing,51.35,2,0.15,87.3,Email,Mobile,Debit Card,Midwest,False
TXN_008990,CUST_01023,2023-01-09,Home & Kitchen,151.31,1,0.1,136.18,Social Media,Tablet,Credit Card,Southwest,False
TXN_007725,CUST_02887,2023-01-09,Electronics,222.14,1,0.05,211.03,Paid Ads,Desktop,Credit Card,West,False
TXN_000184,CUST_01563,2023-01-09,Home & Kitchen,150.55,2,0.05,286.04,Social Media,Desktop,Credit Card,West,False
TXN_012172,CUST_01317,2023-01-09,Electronics,467.47,1,0.0,467.47,Organic Search,Mobile,Credit Card,Midwest,False
TXN_010124,CUST_01839,2023-01-09,Toys & Games,14.91,4,0.05,56.66,Email,Mobile,PayPal,West,False
TXN_001045,CUST_02914,2023-01-09,Electronics,350.23,4,0.1,1260.83,Email,Mobile,PayPal,Midwest,False
TXN_007114,CUST_00729,2023-01-09,Sports & Outdoor,167.34,1,0.0,167.34,Email,Mobile,Debit Card,West,False
TXN_009155,CUST_00770,2023-01-09,Beauty & Health,72.8,1,0.1,65.52,Email,Mobile,Credit Card,Southeast,False
TXN_009228,CUST_01356,2023-01-09,Electronics,136.07,1,0.0,136.07,Email,Desktop,Credit Card,Midwest,False
TXN_003312,CUST_00756,2023-01-09,Books & Media,17.29,5,0.0,86.45,Organic Search,Mobile,Credit Card,Southwest,False
TXN_004996,CUST_01714,2023-01-10,Clothing,33.45,2,0.0,66.9,Paid Ads,Mobile,Credit Card,Northeast,False
TXN_011444,CUST_01773,2023-01-10,Clothing,67.57,1,0.0,67.57,Organic Search,Desktop,PayPal,Midwest,False
TXN_004990,CUST_01612,2023-01-10,Home & Kitchen,17.37,1,0.0,17.37,Email,Desktop,Debit Card,Southwest,False
TXN_003159,CUST_02639,2023-01-10,Beauty & Health,27.7,2,0.15,47.09,Paid Ads,Desktop,Apple Pay,West,False
TXN_005950,CUST_01481,2023-01-10,Clothing,88.43,1,0.05,84.01,Paid Ads,Mobile,PayPal,Southeast,False
TXN_003898,CUST_02964,2023-01-10,Sports & Outdoor,49.38,3,0.15,125.92,Direct,Tablet,Credit Card,Southeast,False
TXN_007692,CUST_00445,2023-01-10,Electronics,82.66,1,0.05,78.53,Direct,Mobile,Debit Card,West,False
TXN_001044,CUST_02799,2023-01-10,Sports & Outdoor,75.21,1,0.0,75.21,Organic Search,Mobile,Credit Card,Midwest,False
TXN_002005,CUST_01714,2023-01-10,Clothing,79.03,1,0.0,79.03,Email,Mobile,Credit Card,Northeast,False
TXN_005302,CUST_01547,2023-01-10,Clothing,106.52,2,0.05,202.39,Direct,Tablet,Debit Card,Northeast,False
TXN_010875,CUST_00314,2023-01-10,Beauty & Health,25.85,1,0.0,25.85,Organic Search,Desktop,Credit Card,West,False
TXN_000911,CUST_00471,2023-01-10,Home & Kitchen,30.22,3,0.05,86.13,Organic Search,Mobile,PayPal,Southeast,False
TXN_001708,CUST_02675,2023-01-11,Beauty & Health,66.67,2,0.05,126.67,Paid Ads,Mobile,Credit Card,Southeast,False
TXN_006609,CUST_00403,2023-01-11,Sports & Outdoor,228.61,1,0.15,194.32,Social Media,Desktop,PayPal,Northeast,False
TXN_000557,CUST_01893,2023-01-11,Books & Media,15.07,2,0.15,25.62,Email,Desktop,Credit Card,West,False
TXN_010307,CUST_00811,2023-01-11,Clothing,68.75,2,0.0,137.5,Paid Ads,Tablet,Credit Card,Northeast,False
TXN_007356,CUST_01272,2023-01-11,Sports & Outdoor,164.84,2,0.1,296.71,Email,Mobile,Credit Card,Southwest,False
TXN_003383,CUST_00194,2023-01-11,Electronics,279.45,2,0.1,503.01,Social Media,Tablet,Debit Card,Southeast,False
TXN_008581,CUST_00867,2023-01-11,Clothing,21.08,2,0.05,40.05,Email,Desktop,Credit Card,Northeast,False
TXN_001414,CUST_00466,2023-01-11,Electronics,375.05,1,0.0,375.05,Organic Search,Mobile,Debit Card,Midwest,False
TXN_001498,CUST_01719,2023-01-11,Sports & Outdoor,20.56,2,0.15,34.95,Paid Ads,Mobile,PayPal,West,False
TXN_005619,CUST_01979,2023-01-11,Sports & Outdoor,192.4,1,0.2,153.92,Organic Search,Desktop,Credit Card,Midwest,False
TXN_007884,CUST_01441,2023-01-11,Clothing,103.7,1,0.05,98.52,Direct,Mobile,Credit Card,Southwest,False
TXN_004346,CUST_00893,2023-01-11,Clothing,134.67,2,0.05,255.87,Organic Search,Desktop,PayPal,Midwest,False
TXN_001572,CUST_02486,2023-01-11,Clothing,106.04,1,0.1,95.44,Organic Search,Mobile,PayPal,West,False
TXN_012324,CUST_02250,2023-01-11,Home & Kitchen,93.96,4,0.0,375.84,Email,Mobile,Credit Card,Northeast,False
TXN_005682,CUST_01826,2023-01-11,Clothing,29.6,1,0.0,29.6,Organic Search,Mobile,Debit Card,Midwest,False
TXN_000226,CUST_03028,2023-01-11,Electronics,466.67,1,0.15,396.67,Organic Search,Desktop,Credit Card,Southwest,True
TXN_008623,CUST_01504,2023-01-12,Books & Media,12.88,2,0.0,25.76,Email,Desktop,Apple Pay,Midwest,False
TXN_003909,CUST_00151,2023-01-12,Clothing,22.55,1,0.1,20.3,Email,Tablet,Credit Card,Northeast,False
TXN_011709,CUST_00646,2023-01-12,Electronics,174.89,1,0.0,174.89,Email,Mobile,Debit Card,West,True
TXN_007454,CUST_02273,2023-01-12,Home & Kitchen,141.86,1,0.1,127.67,Paid Ads,Mobile,Credit Card,Northeast,False
TXN_008799,CUST_02979,2023-01-12,Toys & Games,51.14,2,0.05,97.17,Email,Desktop,Credit Card,Northeast,False
TXN_005441,CUST_01061,2023-01-12,Electronics,424.79,2,0.2,679.66,Social Media,Mobile,PayPal,Northeast,False
TXN_005641,CUST_00825,2023-01-12,Home & Kitchen,160.06,1,0.15,136.05,Social Media,Desktop,Debit Card,West,False
TXN_007227,CUST_01896,2023-01-12,Toys & Games,68.34,1,0.0,68.34,Organic Search,Mobile,Apple Pay,Midwest,False
TXN_009492,CUST_01420,2023-01-12,Home & Kitchen,138.01,3,0.05,393.33,Paid Ads,Desktop,Credit Card,Southwest,False
TXN_007601,CUST_01820,2023-01-12,Beauty & Health,77.74,1,0.05,73.85,Direct,Mobile,Credit Card,Southwest,False
TXN_005032,CUST_02080,2023-01-12,Clothing,60.1,1,0.0,60.1,Email,Mobile,Credit Card,Southeast,False
TXN_012002,CUST_01221,2023-01-12,Beauty & Health,61.84,2,0.15,105.13,Social Media,Mobile,Credit Card,Northeast,False
TXN_004369,CUST_01865,2023-01-12,Sports & Outdoor,87.75,1,0.0,87.75,Direct,Desktop,Credit Card,West,False
TXN_000185,CUST_02439,2023-01-12,Beauty & Health,79.13,1,0.05,75.17,Email,Mobile,Credit Card,Northeast,False
TXN_008262,CUST_00068,2023-01-12,Home & Kitchen,91.85,2,0.0,183.7,Email,Mobile,PayPal,Midwest,False
TXN_000206,CUST_00717,2023-01-13,Electronics,395.26,1,0.1,355.73,Paid Ads,Desktop,Debit Card,West,False
TXN_008385,CUST_00523,2023-01-13,Clothing,42.42,2,0.2,67.87,Organic Search,Desktop,Debit Card,Southwest,False
TXN_007719,CUST_01642,2023-01-13,Clothing,35.77,1,0.1,32.19,Email,Mobile,Apple Pay,Southwest,False
TXN_011658,CUST_01839,2023-01-13,Clothing,46.31,1,0.0,46.31,Social Media,Mobile,Apple Pay,West,False
TXN_010938,CUST_00753,2023-01-13,Clothing,126.03,1,0.0,126.03,Organic Search,Mobile,Debit Card,Southwest,False
TXN_003496,CUST_02872,2023-01-13,Beauty & Health,68.68,1,0.0,68.68,Organic Search,Desktop,PayPal,Southeast,False
TXN_000615,CUST_02723,2023-01-13,Beauty & Health,68.76,1,0.0,68.76,Direct,Mobile,Debit Card,Northeast,False
TXN_011512,CUST_01389,2023-01-13,Electronics,439.45,2,0.05,834.96,Organic Search,Desktop,Credit Card,West,False
TXN_006809,CUST_01625,2023-01-13,Home & Kitchen,185.25,1,0.0,185.25,Paid Ads,Tablet,Credit Card,Midwest,False
TXN_001433,CUST_01623,2023-01-13,Sports & Outdoor,135.6,1,0.05,128.82,Email,Mobile,PayPal,Southeast,False
TXN_012332,CUST_02577,2023-01-13,Home & Kitchen,14.03,5,0.2,56.12,Email,Mobile,Credit Card,West,False
TXN_011795,CUST_01092,2023-01-13,Beauty & Health,12.83,1,0.0,12.83,Paid Ads,Desktop,Debit Card,Northeast,False
TXN_009293,CUST_03192,2023-01-13,Sports & Outdoor,17.86,5,0.1,80.37,Direct,Mobile,PayPal,Southeast,False
TXN_009333,CUST_02700,2023-01-13,Beauty & Health,51.52,4,0.0,206.08,Direct,Mobile,Apple Pay,Midwest,False
TXN_002883,CUST_01146,2023-01-13,Beauty & Health,20.88,4,0.1,75.17,Email,Desktop,PayPal,Southeast,False
TXN_009418,CUST_01588,2023-01-13,Beauty & Health,84.78,1,0.1,76.3,Paid Ads,Mobile,Debit Card,Southwest,False
TXN_010488,CUST_01728,2023-01-13,Clothing,144.45,1,0.05,137.23,Paid Ads,Mobile,Credit Card,Southeast,False
TXN_005482,CUST_02905,2023-01-13,Home & Kitchen,116.31,2,0.15,197.73,Organic Search,Mobile,Apple Pay,Northeast,False
TXN_007657,CUST_02783,2023-01-14,Clothing,124.75,2,0.1,224.55,Social Media,Desktop,Debit Card,Southwest,False
TXN_007032,CUST_02611,2023-01-14,Clothing,149.38,2,0.05,283.82,Paid Ads,Tablet,Credit Card,Northeast,False
TXN_012374,CUST_01448,2023-01-14,Home & Kitchen,188.86,3,0.1,509.92,Paid Ads,Desktop,Credit Card,Southeast,False
TXN_010007,CUST_01835,2023-01-14,Home & Kitchen,160.83,1,0.0,160.83,Email,Desktop,Apple Pay,Northeast,False
TXN_002125,CUST_02960,2023-01-14,Clothing,25.2,2,0.1,45.36,Email,Mobile,Apple Pay,West,False
TXN_006035,CUST_01330,2023-01-14,Beauty & Health,31.15,1,0.1,28.04,Organic Search,Tablet,Credit Card,Northeast,False
TXN_010527,CUST_01903,2023-01-14,Clothing,80.01,3,0.0,240.03,Organic Search,Desktop,PayPal,Midwest,False
TXN_004674,CUST_00257,2023-01-14,Electronics,418.79,1,0.05,397.85,Organic Search,Desktop,PayPal,Midwest,False
TXN_004100,CUST_01036,2023-01-14,Home & Kitchen,110.73,2,0.05,210.39,Organic Search,Desktop,PayPal,Southeast,False
TXN_009361,CUST_02056,2023-01-14,Electronics,461.27,3,0.0,1383.81,Paid Ads,Desktop,Apple Pay,Midwest,False
TXN_005453,CUST_02572,2023-01-15,Home & Kitchen,97.5,2,0.0,195.0,Organic Search,Mobile,PayPal,West,False
TXN_001160,CUST_00543,2023-01-15,Toys & Games,77.94,3,0.0,233.82,Direct,Desktop,Credit Card,West,False
TXN_012413,CUST_00403,2023-01-15,Electronics,383.67,1,0.15,326.12,Organic Search,Mobile,Debit Card,Northeast,True
TXN_006013,CUST_01674,2023-01-15,Electronics,378.99,1,0.1,341.09,Organic Search,Mobile,Credit Card,Southeast,False
TXN_011127,CUST_00993,2023-01-15,Home & Kitchen,161.37,1,0.0,161.37,Email,Mobile,PayPal,Midwest,False
TXN_002013,CUST_00812,2023-01-15,Electronics,213.86,2,0.0,427.72,Email,Desktop,Debit Card,Southeast,False
TXN_008124,CUST_00797,2023-01-15,Books & Media,23.13,2,0.15,39.32,Paid Ads,Mobile,Debit Card,Southeast,False
TXN_005970,CUST_01295,2023-01-15,Clothing,112.09,3,0.05,319.46,Organic Search,Mobile,Credit Card,West,False
TXN_008267,CUST_00980,2023-01-15,Electronics,424.66,2,0.0,849.32,Organic Search,Mobile,Credit Card,Southeast,False
TXN_004784,CUST_01198,2023-01-15,Clothing,63.9,1,0.2,51.12,Paid Ads,Mobile,Credit Card,Northeast,False
TXN_011961,CUST_02870,2023-01-15,Home & Kitchen,142.35,2,0.0,284.7,Organic Search,Mobile,PayPal,Southeast,False
TXN_004450,CUST_00428,2023-01-15,Electronics,134.82,1,0.0,134.82,Organic Search,Mobile,Credit Card,Southwest,False
TXN_004436,CUST_00561,2023-01-15,Home & Kitchen,64.27,2,0.0,128.54,Email,Desktop,Credit Card,Northeast,False
TXN_005864,CUST_03152,2023-01-15,Clothing,149.05,1,0.0,149.05,Direct,Desktop,PayPal,Midwest,False
TXN_000625,CUST_01092,2023-01-16,Electronics,444.97,2,0.1,800.95,Paid Ads,Tablet,Credit Card,Northeast,False
TXN_009797,CUST_00944,2023-01-16,Clothing,72.61,1,0.05,68.98,Organic Search,Desktop,Apple Pay,West,False
TXN_004535,CUST_02516,2023-01-16,Electronics,124.53,2,0.1,224.15,Direct,Mobile,Credit Card,Southeast,False
TXN_003650,CUST_01871,2023-01-16,Books & Media,15.31,1,0.15,13.01,Organic Search,Mobile,Credit Card,Midwest,False
TXN_006883,CUST_00844,2023-01-16,Home & Kitchen,130.94,1,0.0,130.94,Organic Search,Desktop,Debit Card,West,False
TXN_000905,CUST_01243,2023-01-16,Clothing,110.18,2,0.05,209.34,Direct,Mobile,Credit Card,Southeast,False
TXN_000082,CUST_01997,2023-01-16,Electronics,433.92,1,0.05,412.22,Email,Desktop,Credit Card,West,False
TXN_006666,CUST_02841,2023-01-16,Sports & Outdoor,222.19,2,0.0,444.38,Direct,Mobile,Debit Card,Midwest,False
TXN_010902,CUST_02932,2023-01-16,Books & Media,29.4,2,0.0,58.8,Social Media,Desktop,Credit Card,West,False
TXN_011507,CUST_01675,2023-01-16,Sports & Outdoor,156.59,3,0.1,422.79,Social Media,Mobile,PayPal,Southeast,False
TXN_003571,CUST_00031,2023-01-16,Home & Kitchen,77.29,3,0.15,197.09,Direct,Desktop,Apple Pay,Midwest,False
TXN_006835,CUST_00848,2023-01-16,Beauty & Health,67.73,1,0.1,60.96,Paid Ads,Mobile,Credit Card,Midwest,False
TXN_009993,CUST_01126,2023-01-16,Home & Kitchen,132.41,1,0.0,132.41,Social Media,Mobile,Credit Card,Southwest,False
TXN_003894,CUST_00187,2023-01-16,Electronics,164.46,4,0.05,624.95,Organic Search,Mobile,Credit Card,Southeast,False
TXN_010858,CUST_00385,2023-01-17,Beauty & Health,31.78,1,0.1,28.6,Paid Ads,Mobile,Apple Pay,Southeast,False
TXN_002302,CUST_01912,2023-01-17,Home & Kitchen,89.68,1,0.0,89.68,Organic Search,Desktop,PayPal,Southwest,False
TXN_008563,CUST_00911,2023-01-17,Clothing,103.81,3,0.0,311.43,Paid Ads,Mobile,Credit Card,Midwest,False
TXN_006004,CUST_01978,2023-01-17,Electronics,351.99,2,0.1,633.58,Social Media,Mobile,Apple Pay,Northeast,False
TXN_009741,CUST_01565,2023-01-17,Electronics,232.87,1,0.05,221.23,Social Media,Mobile,Credit Card,Midwest,False
TXN_003834,CUST_01870,2023-01-17,Home & Kitchen,108.67,1,0.0,108.67,Email,Desktop,PayPal,Northeast,False
TXN_010691,CUST_02561,2023-01-17,Electronics,267.9,1,0.0,267.9,Direct,Desktop,Credit Card,West,False
TXN_010214,CUST_01911,2023-01-17,Electronics,379.0,1,0.0,379.0,Paid Ads,Desktop,Credit Card,Southwest,False
TXN_000526,CUST_02622,2023-01-17,Electronics,425.22,1,0.15,361.44,Paid Ads,Mobile,Debit Card,Midwest,False
